"id","job_id","project_id","scene_id","provider","status","progress","prompt","fallback_prompt","duration","aspect_ratio","negative_prompt","style","video_url","thumbnail_url","error_message","retry_count","max_retries","started_at","completed_at","triggered_by","created_at","updated_at","source_image_url","i2v_settings","motion_control","scene_type"
"1","vj_PlPTsC8IgqrzFgwV","proj_1767376392127_5jynjulwt","scene_001_hook","runway","succeeded","100","Warm, sunlit wellness space with natural wood furniture and plants, woman in her 40s sitting comfortably, gentle golden lighting filtering through windows, earth-toned decor, authentic expression of hope and contemplation","professional video","9","16:9",,"professional","https://remotionlambda-useast1-refjo5giq5.s3.us-east-1.amazonaws.com/ai-videos/runway/1767396177996_yu8vobtza.mp4",,,"0","3","""2026-01-02T23:21:34.459Z""","""2026-01-02T23:22:59.160Z""","40154188","""2026-01-02T23:21:32.859Z""","""2026-01-02T23:22:59.160Z""",,,,
"2","vj_qDSn17qLsVk0CtwF","proj_1767397583806_urx1b7m3c","scene_001_hook","runway","succeeded","100","Warm, sunlit wellness space with natural wood furniture, woman in her 40s sitting comfortably, golden morning light streaming through windows, plants and organic textures, earth tones, authentic expression of hope","professional video","9","16:9",,"professional","https://dnznrvs05pmza.cloudfront.net/veo3.1/projects/vertex-ai-claude-431722/locations/us-central1/publishers/google/models/veo-3.1-generate-preview/operations/9c82b13b-1e62-4ee0-a6b1-6088b2dc5939/For_Pine_Hill_Farm__a_wellness_and_natural_health_supplements_brand__Style__professional__warm__natu.mp4?_jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJrZXlIYXNoIjoiMzAzYmY4MmQ4ZDFmNTc1MSIsImJ1Y2tldCI6InJ1bndheS10YXNrLWFydGlmYWN0cyIsInN0YWdlIjoicHJvZCIsImV4cCI6MTc2NzU3MTIwMH0.h6ZQP3-kY7fpnwCa8nbXw2R2wpWgt790p281ZDDToXI",,,"0","3","""2026-01-03T00:22:40.870Z""","""2026-01-03T00:24:06.185Z""","40154188","""2026-01-03T00:22:39.603Z""","""2026-01-03T00:24:06.185Z""",,,,
"3","vj_4mAJldWtrAnjF4BU","proj_1767397583806_urx1b7m3c","scene_001_hook","runway","succeeded","100","Warm, sunlit wellness space with natural wood furniture, woman in her 40s sitting comfortably, golden morning light streaming through windows, plants and organic textures, earth tones, authentic expression of hope","professional video","9","16:9",,"professional","https://dnznrvs05pmza.cloudfront.net/249665f2-f546-4a4f-b391-7585085bca16.mp4?_jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJrZXlIYXNoIjoiOTA2ZTc2NjU4NGI1MjViOSIsImJ1Y2tldCI6InJ1bndheS10YXNrLWFydGlmYWN0cyIsInN0YWdlIjoicHJvZCIsImV4cCI6MTc2NzU3MTIwMH0.uQU2d__cAAxDIEuaJZmPJajX9kVB9Oi3QTBvZfJHOpY",,,"0","3","""2026-01-03T00:41:05.175Z""","""2026-01-03T00:41:43.788Z""","40154188","""2026-01-03T00:41:03.017Z""","""2026-01-03T00:41:43.788Z""",,,,
"4","vj_Bh7savpDwBVKcKod","proj_1767396903205_9jnkxtf5d","scene_001_hook","runway","succeeded","100","Close-up of authentic woman in her 40s with gentle, understanding expression, warm golden lighting, natural home setting with soft textures, earth tones, camera slowly pulling back to reveal cozy living room with plants and natural wood furniture","professional video","9","16:9",,"professional","https://dnznrvs05pmza.cloudfront.net/e4299342-4eb3-4f8c-a5f4-e2a3a8934cef.mp4?_jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJrZXlIYXNoIjoiZjIzYmE1ZTJkNTkxMWY2NSIsImJ1Y2tldCI6InJ1bndheS10YXNrLWFydGlmYWN0cyIsInN0YWdlIjoicHJvZCIsImV4cCI6MTc2NzU3MTIwMH0.Hx-ITE4b7Sn_cGWuio9Y7xDiNbv_23Xr8f_oDTLjxGo",,,"0","3","""2026-01-03T18:17:03.701Z""","""2026-01-03T18:17:40.220Z""","40154188","""2026-01-03T18:17:03.399Z""","""2026-01-03T18:17:40.220Z""",,,,
"5","vj_V7oKAP38AFLf3Yfr","proj_1767396903205_9jnkxtf5d","scene_001_hook","runway","succeeded","100","Close-up of authentic woman in her 40s with gentle, understanding expression, warm golden lighting, natural home setting with soft textures, earth tones, camera slowly pulling back to reveal cozy living room with plants and natural wood furniture","professional video","9","16:9",,"professional","https://dnznrvs05pmza.cloudfront.net/3ef91984-48a2-4ad1-9d05-d3422a04b50a.mp4?_jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJrZXlIYXNoIjoiZTBkZjQ4NWM3ZDhhMzkzZCIsImJ1Y2tldCI6InJ1bndheS10YXNrLWFydGlmYWN0cyIsInN0YWdlIjoicHJvZCIsImV4cCI6MTc2NzU3MTIwMH0.kSfr1wY2g7jb1BDWEDuN7L68woRCk1CYmB73-UQJFhU",,,"0","3","""2026-01-03T21:50:38.963Z""","""2026-01-03T21:51:09.818Z""","40154188","""2026-01-03T21:50:38.760Z""","""2026-01-03T21:51:09.818Z""",,,,
"6","vj_Xin4VoZ2d2nbZJUH","proj_1767396903205_9jnkxtf5d","scene_005_product","runway","succeeded","100","Grid layout showcasing Pine Hill Farm's key testing services: hormone test vials, mold testing materials, gut health supplements, all arranged on natural wood surface with soft lighting, interspersed with healthy foods and plants, warm earth tone color scheme","professional video","8","16:9",,"professional","https://dnznrvs05pmza.cloudfront.net/20ceb0f3-e7bf-41ef-a1ce-5ee3af0d3f59.mp4?_jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJrZXlIYXNoIjoiMjlkM2Q0NDIzYmM0YTUwZSIsImJ1Y2tldCI6InJ1bndheS10YXNrLWFydGlmYWN0cyIsInN0YWdlIjoicHJvZCIsImV4cCI6MTc2NzU3MTIwMH0.5BxgrWqG-b34x5vg6xtGETMFrwuNu8j_naVramZT8oU",,,"0","3","""2026-01-03T21:52:23.979Z""","""2026-01-03T21:54:38.333Z""","40154188","""2026-01-03T21:52:23.678Z""","""2026-01-03T21:54:38.333Z""",,,,
"7","vj_fHj81pc4O0Gjk3lu","proj_1767396903205_9jnkxtf5d","scene_005_product","runway","succeeded","100","Grid layout showcasing Pine Hill Farm's key testing services: hormone test vials, mold testing materials, gut health supplements, all arranged on natural wood surface with soft lighting, interspersed with healthy foods and plants, warm earth tone color scheme","professional video","8","16:9",,"professional","https://dnznrvs05pmza.cloudfront.net/4ba6322c-b7af-4104-8682-0f496f865152.mp4?_jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJrZXlIYXNoIjoiYmUwNDhiMzM4MDYyNDAwZiIsImJ1Y2tldCI6InJ1bndheS10YXNrLWFydGlmYWN0cyIsInN0YWdlIjoicHJvZCIsImV4cCI6MTc2NzU3MTIwMH0.GkLyyhJumnBO6RyWUTsGRJBuznRb-sVUVPQMnOPx2H0",,,"0","3","""2026-01-03T21:55:36.005Z""","""2026-01-03T21:56:07.703Z""","40154188","""2026-01-03T21:55:33.418Z""","""2026-01-03T21:56:07.703Z""",,,,
"8","vj_EJbQEDEuyPAFA7FB","proj_1767396903205_9jnkxtf5d","scene_001_hook","runway","succeeded","100","Close-up of authentic woman in her 40s with gentle, understanding expression, warm golden lighting, natural home setting with soft textures, earth tones, camera slowly pulling back to reveal cozy living room with plants and natural wood furniture","professional video","9","16:9",,"professional","https://dnznrvs05pmza.cloudfront.net/bd2f6696-4cda-4ba5-80f9-b81ffc378cb0.mp4?_jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJrZXlIYXNoIjoiNzA0NTNmNzJlNzhmYzkyOSIsImJ1Y2tldCI6InJ1bndheS10YXNrLWFydGlmYWN0cyIsInN0YWdlIjoicHJvZCIsImV4cCI6MTc2NzgzMDQwMH0.iHJsdPc8XhlOiRFkzWWRTWVQIPLpaBdeMz70nxoNxjk",,,"0","3","""2026-01-06T15:26:12.571Z""","""2026-01-06T15:27:25.972Z""","40154188","""2026-01-06T15:26:11.652Z""","""2026-01-06T15:27:25.972Z""",,,,
"9","vj_9mqR-sjRHY4StAry","proj_1767396903205_9jnkxtf5d","scene_001_hook","runway","succeeded","100","Close-up of authentic woman in her 40s with gentle, understanding expression, warm golden lighting, natural home setting with soft textures, earth tones, camera slowly pulling back to reveal cozy living room with plants and natural wood furniture","professional video","9","16:9",,"professional","https://dnznrvs05pmza.cloudfront.net/24e68da9-3d57-4866-80be-8d546a6fdaa8.mp4?_jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJrZXlIYXNoIjoiYTIzNTM4NWFjZjM5NzljNyIsImJ1Y2tldCI6InJ1bndheS10YXNrLWFydGlmYWN0cyIsInN0YWdlIjoicHJvZCIsImV4cCI6MTc2NzgzMDQwMH0.efpk3H-4c4ARoJUOKnSHal29wDv72qlLc8vtCD05VMM",,,"0","3","""2026-01-06T15:27:24.116Z""","""2026-01-06T15:27:57.540Z""","40154188","""2026-01-06T15:27:21.280Z""","""2026-01-06T15:27:57.540Z""",,,,
"10","vj__3jC1OXZC5mAVs8I","proj_1767396903205_9jnkxtf5d","scene_001_hook","runway","succeeded","100","Close-up of authentic woman in her 40s with gentle, understanding expression, warm golden lighting, natural home setting with soft textures, earth tones, camera slowly pulling back to reveal cozy living room with plants and natural wood furniture","professional video","9","16:9",,"professional","https://dnznrvs05pmza.cloudfront.net/d5ae66a9-caae-4070-8ea2-387df2f775be.mp4?_jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJrZXlIYXNoIjoiNWVmYmY0Y2NhMzMzNDFmNSIsImJ1Y2tldCI6InJ1bndheS10YXNrLWFydGlmYWN0cyIsInN0YWdlIjoicHJvZCIsImV4cCI6MTc2NzgzMDQwMH0.RvLrcyBRNOOw7s6_-ZGVSwD8HZjFZgFAi18zfbN6iyc",,,"0","3","""2026-01-06T15:29:36.140Z""","""2026-01-06T15:30:16.950Z""","40154188","""2026-01-06T15:29:34.924Z""","""2026-01-06T15:30:16.950Z""",,,,
